,TRADING_DATE,DELIVERY_DATE,MEAN
0,2024-03-20,2024-06-01,60.62
1,2024-03-20,2024-05-01,60.62
2,2024-03-20,2024-04-01,60.62
3,2024-03-20,2024-03-01,60.62
4,2024-03-19,2024-03-01,60.84
5,2024-03-19,2024-04-01,60.84
6,2024-03-19,2024-05-01,60.84
7,2024-03-19,2024-06-01,60.84
8,2024-03-18,2024-03-01,61.43
9,2024-03-18,2024-04-01,61.43
10,2024-03-18,2024-05-01,61.43
11,2024-03-18,2024-06-01,61.43
12,2024-03-17,2024-05-01,59.39
13,2024-03-17,2024-03-01,59.39
14,2024-03-17,2024-04-01,59.39
15,2024-03-17,2024-06-01,59.39
16,2024-03-16,2024-03-01,59.39
17,2024-03-16,2024-04-01,59.39
18,2024-03-16,2024-05-01,59.39
19,2024-03-16,2024-06-01,59.39
20,2024-03-15,2024-03-01,59.39
21,2024-03-15,2024-04-01,59.39
22,2024-03-15,2024-05-01,59.39
23,2024-03-15,2024-06-01,59.39
24,2024-03-14,2024-03-01,58.45
25,2024-03-14,2024-04-01,58.45
26,2024-03-14,2024-05-01,58.45
27,2024-03-14,2024-06-01,58.45
28,2024-03-13,2024-03-01,56.04
29,2024-03-13,2024-04-01,56.04
30,2024-03-13,2024-05-01,56.04
31,2024-03-13,2024-06-01,56.04
32,2024-03-12,2024-04-01,56.51
33,2024-03-12,2024-03-01,56.51
34,2024-03-12,2024-05-01,56.51
35,2024-03-12,2024-06-01,56.51
36,2024-03-11,2024-04-01,56.21
37,2024-03-11,2024-05-01,56.21
38,2024-03-11,2024-06-01,56.21
39,2024-03-11,2024-03-01,56.21
40,2024-03-10,2024-03-01,58.39
41,2024-03-10,2024-04-01,58.39
42,2024-03-10,2024-05-01,58.39
43,2024-03-10,2024-06-01,58.39
44,2024-03-09,2024-03-01,58.39
45,2024-03-09,2024-04-01,58.39
46,2024-03-09,2024-05-01,58.39
47,2024-03-09,2024-06-01,58.39
48,2024-03-08,2024-06-01,58.39
49,2024-03-08,2024-03-01,58.39
50,2024-03-08,2024-04-01,58.39
51,2024-03-08,2024-05-01,58.39
52,2024-03-07,2024-04-01,59.16
53,2024-03-07,2024-05-01,59.16
54,2024-03-07,2024-06-01,59.16
55,2024-03-07,2024-03-01,59.16
56,2024-03-06,2024-05-01,59.23
57,2024-03-06,2024-02-01,59.23
58,2024-03-06,2024-03-01,59.23
59,2024-03-06,2024-04-01,59.23
60,2024-03-06,2024-06-01,59.23
61,2024-03-05,2024-02-01,60.54
62,2024-03-05,2024-03-01,60.54
63,2024-03-05,2024-04-01,60.54
64,2024-03-05,2024-05-01,60.54
65,2024-03-05,2024-06-01,60.54
66,2024-03-04,2024-03-01,57.03
67,2024-03-04,2024-02-01,57.03
68,2024-03-04,2024-06-01,57.03
69,2024-03-04,2024-05-01,57.03
70,2024-03-04,2024-04-01,57.03
71,2024-03-03,2024-06-01,56.37
72,2024-03-03,2024-04-01,56.37
73,2024-03-03,2024-03-01,56.37
74,2024-03-03,2024-02-01,56.37
75,2024-03-03,2024-05-01,56.37
76,2024-03-02,2024-05-01,56.37
77,2024-03-02,2024-03-01,56.37
78,2024-03-02,2024-02-01,56.37
79,2024-03-02,2024-04-01,56.37
80,2024-03-02,2024-06-01,56.37
81,2024-03-01,2024-04-01,56.37
82,2024-03-01,2024-02-01,56.37
83,2024-03-01,2024-03-01,56.37
84,2024-03-01,2024-06-01,56.37
85,2024-03-01,2024-05-01,56.37
86,2024-02-29,2024-03-01,56.0
87,2024-02-29,2024-02-01,56.0
88,2024-02-29,2024-06-01,56.0
89,2024-02-29,2024-05-01,56.0
90,2024-02-29,2024-04-01,56.0
91,2024-02-28,2024-06-01,57.84
92,2024-02-28,2024-04-01,57.84
