Start date;End date;Total [MWh] Original resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Original resolutions
Jan 1, 2015 12:00 AM;Jan 1, 2015 1:00 AM;55,567.00;7,790.25;258.50;7,531.75;0.00;47,776.75
Jan 1, 2015 1:00 AM;Jan 1, 2015 2:00 AM;54,454.00;8,280.00;258.75;8,021.25;0.00;46,174.00
Jan 1, 2015 2:00 AM;Jan 1, 2015 3:00 AM;53,180.00;8,412.75;258.50;8,154.25;0.00;44,767.25
Jan 1, 2015 3:00 AM;Jan 1, 2015 4:00 AM;51,469.00;8,502.25;259.00;8,243.25;0.00;42,966.75
Jan 1, 2015 4:00 AM;Jan 1, 2015 5:00 AM;51,539.00;8,668.50;260.50;8,408.00;0.00;42,870.50
Jan 1, 2015 5:00 AM;Jan 1, 2015 6:00 AM;50,745.00;8,849.25;262.00;8,587.25;0.00;41,895.75
Jan 1, 2015 6:00 AM;Jan 1, 2015 7:00 AM;49,611.00;9,022.50;263.25;8,759.25;0.00;40,588.50
Jan 1, 2015 7:00 AM;Jan 1, 2015 8:00 AM;49,977.00;9,314.25;264.00;9,050.25;0.00;40,662.75
Jan 1, 2015 8:00 AM;Jan 1, 2015 9:00 AM;52,660.00;9,781.00;265.00;9,461.25;54.75;42,879.00
Jan 1, 2015 9:00 AM;Jan 1, 2015 10:00 AM;57,476.00;10,838.00;265.25;9,859.75;713.00;46,638.00
Jan 1, 2015 10:00 AM;Jan 1, 2015 11:00 AM;61,908.00;12,238.00;266.00;10,105.75;1,866.25;49,670.00
Jan 1, 2015 11:00 AM;Jan 1, 2015 12:00 PM;65,163.00;13,187.75;266.00;10,058.75;2,863.00;51,975.25
Jan 1, 2015 12:00 PM;Jan 1, 2015 1:00 PM;65,943.00;13,681.75;266.25;10,042.50;3,373.00;52,261.25
Jan 1, 2015 1:00 PM;Jan 1, 2015 2:00 PM;63,697.00;13,600.75;267.00;10,183.00;3,150.75;50,096.25
Jan 1, 2015 2:00 PM;Jan 1, 2015 3:00 PM;61,656.00;12,900.25;266.50;10,442.25;2,191.50;48,755.75
Jan 1, 2015 3:00 PM;Jan 1, 2015 4:00 PM;60,443.00;12,107.50;266.00;10,971.50;870.00;48,335.50
Jan 1, 2015 4:00 PM;Jan 1, 2015 5:00 PM;61,899.00;12,008.75;266.00;11,634.75;108.00;49,890.25
Jan 1, 2015 5:00 PM;Jan 1, 2015 6:00 PM;63,703.00;12,613.25;266.00;12,347.25;0.00;51,089.75
Jan 1, 2015 6:00 PM;Jan 1, 2015 7:00 PM;64,507.00;13,435.75;266.00;13,169.75;0.00;51,071.25
Jan 1, 2015 7:00 PM;Jan 1, 2015 8:00 PM;65,453.00;14,397.75;265.25;14,132.50;0.00;51,055.25
Jan 1, 2015 8:00 PM;Jan 1, 2015 9:00 PM;64,425.00;15,553.75;265.00;15,288.75;0.00;48,871.25
Jan 1, 2015 9:00 PM;Jan 1, 2015 10:00 PM;62,129.00;16,789.00;265.75;16,523.25;0.00;45,340.00
