,TradingDateUtc,DeliveryDateUtc,SettlementClearing,delivery_period_name,Commodity,Region,Sub-Region
0,2014-01-02,2014-03-01,26.825,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
1,2014-01-02,2014-02-01,27.381,Month,Natural Gas,Germany,NCG (formerly EGT_H)
2,2014-01-02,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
3,2014-01-02,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
4,2014-01-02,2014-02-01,27.142,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
5,2014-01-02,2014-03-01,27.05,Month,Natural Gas,Germany,NCG (formerly EGT_H)
6,2014-01-03,2014-03-01,26.852,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
7,2014-01-03,2014-03-01,27.013,Month,Natural Gas,Germany,NCG (formerly EGT_H)
8,2014-01-03,2014-02-01,27.187,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
9,2014-01-03,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
10,2014-01-03,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
11,2014-01-03,2014-02-01,27.338,Month,Natural Gas,Germany,NCG (formerly EGT_H)
12,2014-01-06,2014-02-01,27.28,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
13,2014-01-06,2014-03-01,27.177,Month,Natural Gas,Germany,NCG (formerly EGT_H)
14,2014-01-06,2014-03-01,27.042,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
15,2014-01-06,2014-02-01,27.462,Month,Natural Gas,Germany,NCG (formerly EGT_H)
16,2014-01-06,2014-01-01,27.5,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
17,2014-01-06,2014-01-01,27.8,Month,Natural Gas,Germany,NCG (formerly EGT_H)
18,2014-01-07,2014-02-01,27.138,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
